strategy,symbol,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl
NIFTY_HEIKIN_ASHI_BEARISH_5M_ITM,NIFTY24250PE,2026-08-31 09:25:00+05:30,195.27508,2026-08-31 11:25:00+05:30,248.39,TIME_EXIT,3452.469799999999
NIFTY_SUPERTREND_CMF_BEARISH_PE,NIFTY24250PE,2026-08-31 09:25:00+05:30,195.27508,2026-08-31 11:25:00+05:30,248.39,TIME_EXIT,3452.469799999999
NIFTY_ORB_BEARISH_5M_ITM,NIFTY24200PE,2026-08-31 09:42:00+05:30,179.6795,2026-08-31 11:42:00+05:30,184.78,TIME_EXIT,331.5325000000007
NIFTY_SUPERTREND_CMF_BEARISH_PE,NIFTY24200PE,2026-08-31 11:25:00+05:30,204.12391999999997,2026-08-31 11:54:00+05:30,163.136,STOP_LOSS,-2664.2147999999984
NIFTY_RESISTANCE_REJECTION_5M_ITM,NIFTY24200PE,2026-08-31 11:37:00+05:30,194.22402999999997,2026-08-31 11:54:00+05:30,155.22400000000002,STOP_LOSS,-2535.001949999997
NIFTY_HEIKIN_ASHI_BULLISH_5M_ITM,NIFTY23900CE,2026-08-31 11:54:00+05:30,192.00180999999998,2026-08-31 13:54:00+05:30,179.63,TIME_EXIT,-804.1676499999988
NIFTY_ORB_BULLISH_5M_ITM,NIFTY23900CE,2026-08-31 11:54:00+05:30,192.00180999999998,2026-08-31 13:54:00+05:30,179.63,TIME_EXIT,-804.1676499999988
NIFTY_SUPERTREND_CMF_BULLISH_CE,NIFTY23900CE,2026-08-31 11:54:00+05:30,192.00180999999998,2026-08-31 13:54:00+05:30,179.63,TIME_EXIT,-804.1676499999988
NIFTY_MACD_BULLISH_1M_ATM,NIFTY24050CE,2026-08-31 12:21:00+05:30,84.83474999999999,2026-08-31 14:03:00+05:30,67.8,STOP_LOSS,-1107.2587499999993
NIFTY_RESISTANCE_REJECTION_5M_ITM,NIFTY24250PE,2026-08-31 13:41:00+05:30,198.50831,2026-08-31 14:45:00+05:30,198.50831,TRAILING_STOP,0.0
NIFTY_SUPERTREND_CMF_BEARISH_PE,NIFTY24250PE,2026-08-31 13:41:00+05:30,198.50831,2026-08-31 14:45:00+05:30,198.50831,TRAILING_STOP,0.0
NIFTY_HEIKIN_ASHI_BEARISH_5M_ITM,NIFTY24250PE,2026-08-31 13:45:00+05:30,200.81061,2026-08-31 14:42:00+05:30,200.81061,TRAILING_STOP,0.0
NIFTY_HEIKIN_ASHI_BEARISH_1M_ATM,NIFTY24050PE,2026-08-31 14:00:00+05:30,69.60954,2026-08-31 14:40:00+05:30,70.091,TRAILING_STOP,31.2948999999999
NIFTY_ORB_BEARISH_5M_ITM,NIFTY24200PE,2026-08-31 14:04:00+05:30,179.22905,2026-08-31 14:46:00+05:30,143.24,STOP_LOSS,-2339.2882499999996
NIFTY_HEIKIN_ASHI_BEARISH_1M_ATM,NIFTY24050PE,2026-08-31 14:40:00+05:30,66.31625,2026-08-31 14:46:00+05:30,53.0,STOP_LOSS,-865.5562499999997
NIFTY_HEIKIN_ASHI_BULLISH_5M_ITM,NIFTY23900CE,2026-08-31 14:45:00+05:30,192.25205999999997,2026-08-31 15:00:00+05:30,192.25205999999997,TRAILING_STOP,0.0
NIFTY_ORB_BULLISH_5M_ITM,NIFTY23900CE,2026-08-31 14:45:00+05:30,192.25205999999997,2026-08-31 15:00:00+05:30,192.25205999999997,TRAILING_STOP,0.0
NIFTY_SUPERTREND_CMF_BULLISH_CE,NIFTY23900CE,2026-08-31 14:45:00+05:30,192.25205999999997,2026-08-31 15:00:00+05:30,192.25205999999997,TRAILING_STOP,0.0
NIFTY_SUPERTREND_CMF_BEARISH_PE,NIFTY24250PE,2026-08-31 15:05:00+05:30,205.1049,2026-08-31 15:15:00+05:30,207.18,EOD_SQUARE_OFF,134.88150000000132
NIFTY_HEIKIN_ASHI_BEARISH_5M_ITM,NIFTY24250PE,2026-08-31 15:10:00+05:30,199.30911,2026-08-31 15:15:00+05:30,207.18,EOD_SQUARE_OFF,511.6078500000002
NIFTY_RESISTANCE_REJECTION_5M_ITM,NIFTY24250PE,2026-08-31 15:14:00+05:30,205.91571,2026-08-31 15:15:00+05:30,207.18,EOD_SQUARE_OFF,82.17885000000109
NIFTY_SUPERTREND_CMF_BEARISH_PE,NIFTY24250PE,2026-08-31 15:20:00+05:30,207.38717999999997,2026-08-31 15:21:00+05:30,207.18,EOD_SQUARE_OFF,-13.466699999997758
NIFTY_HEIKIN_ASHI_BEARISH_5M_ITM,NIFTY24250PE,2026-08-31 15:25:00+05:30,207.38717999999997,2026-08-31 15:26:00+05:30,207.18,EOD_SQUARE_OFF,-13.466699999997758
NIFTY_SUPPORT_BOUNCE_5M_ITM,NIFTY23900CE,2026-08-31 15:29:00+05:30,198.42822999999996,2026-09-01 09:15:00+05:30,158.584,STOP_LOSS,-2589.874949999997
